date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:32:01	362668/362668	---MCZ	200	added ('OK')	text/html	etag:cacheable:f028b3bd722a9214e08d14f97c0ec641	https://itcstore.in/account/login	C:/My%20Web%20Sites/ITC/itcstore.in/account/login.html	(from https://itcstore.in/)
13:32:02	375295/375295	---MCZ	200	added ('OK')	text/html	etag:cacheable:0eb476d7bb1bc14bd7c7565b175e2471	https://itcstore.in/collections/foods	C:/My%20Web%20Sites/ITC/itcstore.in/collections/foods.html	(from https://itcstore.in/)
13:32:02	371865/371865	---MCZ	200	added ('OK')	text/html	etag:cacheable:a9d225a59d86e7be187e0ebeabb9c923	https://itcstore.in/collections/sunfeast-biscuits-cakes	C:/My%20Web%20Sites/ITC/itcstore.in/collections/sunfeast-biscuits-cakes.html	(from https://itcstore.in/)
13:32:02	748125/748125	---MCZ	200	added ('OK')	text/html	etag:cacheable:47c4d20843f627a5d6b61b9af98a89af	https://itcstore.in/pages/sunfeast-marie-light	C:/My%20Web%20Sites/ITC/itcstore.in/pages/sunfeast-marie-light.html	(from https://itcstore.in/)
13:32:03	751203/751203	---MCZ	200	added ('OK')	text/html	etag:cacheable:285ad9bc469e4d4bc916e8036716c0bb	https://itcstore.in/pages/sunfeast-dark-fantasy	C:/My%20Web%20Sites/ITC/itcstore.in/pages/sunfeast-dark-fantasy.html	(from https://itcstore.in/)
13:32:03	389073/389073	---MCZ	200	added ('OK')	text/html	etag:cacheable:ea4059a2ae715c0045cd745cf7cf8504	https://itcstore.in/pages/sunfeast-farmlite	C:/My%20Web%20Sites/ITC/itcstore.in/pages/sunfeast-farmlite.html	(from https://itcstore.in/)
13:32:04	383832/383832	---MCZ	200	added ('OK')	text/html	etag:cacheable:e258e7ffd666278f799037f277a49a46	https://itcstore.in/pages/sunfeast-bounce	C:/My%20Web%20Sites/ITC/itcstore.in/pages/sunfeast-bounce.html	(from https://itcstore.in/)
13:32:04	381621/381621	---MCZ	200	added ('OK')	text/html	etag:cacheable:8043317d346dac967fd8b7f2e5274316	https://itcstore.in/pages/sunfeast-caker	C:/My%20Web%20Sites/ITC/itcstore.in/pages/sunfeast-caker.html	(from https://itcstore.in/)
13:32:05	377763/377763	---MCZ	200	added ('OK')	text/html	etag:cacheable:17291845c5ebc0a6f412ed41fa7f3184	https://itcstore.in/pages/sunfeast-moms-magic	C:/My%20Web%20Sites/ITC/itcstore.in/pages/sunfeast-moms-magic.html	(from https://itcstore.in/)
13:32:05	380351/380351	---MCZ	200	added ('OK')	text/html	etag:cacheable:3fb86aaf4e3c7c18f53746a042e68c77	https://itcstore.in/pages/sunfeast-all-rounder	C:/My%20Web%20Sites/ITC/itcstore.in/pages/sunfeast-all-rounder.html	(from https://itcstore.in/)
13:32:06	374311/374311	---MCZ	200	added ('OK')	text/html	etag:cacheable:5aabdb88bb9832a8a89d3dc3fead6326	https://itcstore.in/collections/noodles-and-pasta	C:/My%20Web%20Sites/ITC/itcstore.in/collections/noodles-and-pasta.html	(from https://itcstore.in/)
13:32:07	381483/381483	---MCZ	200	added ('OK')	text/html	etag:cacheable:ad987b7c5bc1abaec018ec50300be8c5	https://itcstore.in/pages/sunfeast-yippee-pasta	C:/My%20Web%20Sites/ITC/itcstore.in/pages/sunfeast-yippee-pasta.html	(from https://itcstore.in/)
13:32:07	385814/385814	---MCZ	200	added ('OK')	text/html	etag:cacheable:f8a2a448dfaa85b64b7169a3e38c4108	https://itcstore.in/pages/sunfeast-yippee-noodles	C:/My%20Web%20Sites/ITC/itcstore.in/pages/sunfeast-yippee-noodles.html	(from https://itcstore.in/)
13:32:08	371626/371626	---MCZ	200	added ('OK')	text/html	etag:cacheable:a5dd4070c713a46fc1cca89eadbf3ddc	https://itcstore.in/collections/staples	C:/My%20Web%20Sites/ITC/itcstore.in/collections/staples.html	(from https://itcstore.in/)
13:32:08	749886/749886	---MCZ	200	added ('OK')	text/html	etag:cacheable:788cc91e755b9371b2db6743b1490186	https://itcstore.in/pages/aashirvaad-atta	C:/My%20Web%20Sites/ITC/itcstore.in/pages/aashirvaad-atta.html	(from https://itcstore.in/)
13:32:08	377741/377741	---MCZ	200	added ('OK')	text/html	etag:cacheable:45ba460aff6c693e295388edc6443716	https://itcstore.in/pages/aashirvaad-spices	C:/My%20Web%20Sites/ITC/itcstore.in/pages/aashirvaad-spices.html	(from https://itcstore.in/)
13:32:10	380816/380816	---MCZ	200	added ('OK')	text/html	etag:cacheable:3a139824550de0c8e736678bc3824432	https://itcstore.in/pages/aashirvaad-masalas	C:/My%20Web%20Sites/ITC/itcstore.in/pages/aashirvaad-masalas.html	(from https://itcstore.in/)
13:32:11	747788/747788	---MCZ	200	added ('OK')	text/html	etag:cacheable:613c1ce15f2269145c82bfb2607ef490	https://itcstore.in/pages/aashirvaad-iodised-salt	C:/My%20Web%20Sites/ITC/itcstore.in/pages/aashirvaad-iodised-salt.html	(from https://itcstore.in/)
13:32:11	377838/377838	---MCZ	200	added ('OK')	text/html	etag:cacheable:e91f1ff0472dd53be77f6ae346bc1cb4	https://itcstore.in/pages/aashirvaad-organic-atta-and-dals	C:/My%20Web%20Sites/ITC/itcstore.in/pages/aashirvaad-organic-atta-and-dals.html	(from https://itcstore.in/)
13:32:11	377048/377048	---MCZ	200	added ('OK')	text/html	etag:cacheable:cdae527cee8e4ce8c306c12797fe9622	https://itcstore.in/pages/itc-master-chef-cooking-paste	C:/My%20Web%20Sites/ITC/itcstore.in/pages/itc-master-chef-cooking-paste.html	(from https://itcstore.in/)
